ano_ingresso|unidade|sexo|nome_curso|area_curso|nivel_curso|setor_ocupacao|tipo_ocupacao|natureza|egressos|ocupados|migrantes|salario
2014|IFMA|F|ENGENHARIA ELÉTRICA|ENGENHARIA|SUPERIOR|Comércio|Engenheiros eletricistas, eletrônicos e afins|Privado|1|1|0|2254.21
2014|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Ignorado|Ignorado|Ignorado|2|0|0|
2014|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Serviços|Analistas de comércio exterior|Privado|1|1|0|9582.39
2014|IFMA|M|ENGENHARIA ELÉTRICA|ENGENHARIA|SUPERIOR|Ignorado|Ignorado|Ignorado|1|0|0|
2014|IFPA|F|TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO - PROEJA|AGROPECUÁRIA|TÉCNICO|Ignorado|Ignorado|Ignorado|6|0|0|
2014|IFPA|M|TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO - PROEJA|AGROPECUÁRIA|TÉCNICO|Ignorado|Ignorado|Ignorado|20|0|0|
2014|IFPA|M|TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO - PROEJA|AGROPECUÁRIA|TÉCNICO|Indústria|Diretores de suprimentos e afins|Privado|1|1|0|2376.1
2014|IFPA|M|TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO - PROEJA|AGROPECUÁRIA|TÉCNICO|Indústria|Planejadores, programadores e controladores de produção e manutenção|Privado|1|1|0|2365.91
2014|IFPA|M|TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO - PROEJA|AGROPECUÁRIA|TÉCNICO|Serviços|Dirigentes do serviço público|Público|1|1|0|2677.21
2014|IFPA|M|TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO - PROEJA|AGROPECUÁRIA|TÉCNICO|Serviços|Técnicos agrícolas|Público|1|1|0|1663.8
2014|IFPE|F|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Comércio|Agentes, assistentes e auxiliares administrativos|Privado|1|1|0|522.5
2014|IFPE|F|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Ignorado|Ignorado|Ignorado|2|0|0|
2014|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Ignorado|Ignorado|Ignorado|2|0|0|
2014|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Serviços|Operadores de telemarketing e afins|Privado|1|1|0|870.83
2014|IFRR|F|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Ignorado|Ignorado|Ignorado|1|0|0|
2014|IFRR|F|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Serviços|Agentes, assistentes e auxiliares administrativos|Público|1|1|0|4944.08
2014|IFRR|F|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Serviços|Professores de nível superior no ensino fundamental de quinta a oitava série|Privado|1|1|0|2415.78
2014|IFRR|F|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Serviços|Professores na área de formação pedagógica do ensino superior|Público|2|2|0|2852.145
2014|IFRR|M|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Ignorado|Ignorado|Ignorado|3|0|0|
2014|IFRR|M|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Serviços|Agentes, assistentes e auxiliares administrativos|Privado|1|1|0|1165.76
2014|IFRR|M|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Serviços|Professores na área de formação pedagógica do ensino superior|Público|2|2|0|4050.66
2014|IFRR|M|LICENCIATURA EM EDUCAÇÃO FÍSICA|EDUCAÇÃO|GRADUAÇÃO|Serviços|Recepcionistas|Privado|1|1|0|2122.48
